제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
현대자동차(주),뉴 카운티(CS) 11인승 리무진,2014-04-26,2023-07-12,2023-09-27,"뉴-카운티(CS)11인승 리무진 차량의 제조불량으로 접이식 좌석에 안전띠가 조립되지 않아 충돌 시 승객을 안전하게 보호하지 못할 가능성이 있으며, '자동차 및 자동차부품의 성능과 기준에 관한 규칙 제27조(좌석안전띠장치등) 2항' 안전기준에 적합하지 않은 사항이 확인됨"
메르세데스벤츠코리아(주),Maybach S 680 4MATIC,2021-11-17,2022-10-07,2023-09-22,생산 공정 오류로 인하여 12V 접지선의 연결 볼트가 트렁크 내 측벽 내장재와의 간섭으로 제대로 고정되지 않았을 수 있습니다. 이러한 경우 접지선의 케이블 터미널이 느슨해져서 전기 저항이 증가할 수 있습니다.
메르세데스벤츠코리아(주),Maybach S 580 4MATIC,2020-09-11,2022-10-05,2023-09-22,생산 공정 오류로 인하여 12V 접지선의 연결 볼트가 트렁크 내 측벽 내장재와의 간섭으로 제대로 고정되지 않았을 수 있습니다. 이러한 경우 접지선의 케이블 터미널이 느슨해져서 전기 저항이 증가할 수 있습니다.
메르세데스벤츠코리아(주),S 580 4MATIC,2020-10-16,2022-10-11,2023-09-22,생산 공정 오류로 인하여 12V 접지선의 연결 볼트가 트렁크 내 측벽 내장재와의 간섭으로 제대로 고정되지 않았을 수 있습니다. 이러한 경우 접지선의 케이블 터미널이 느슨해져서 전기 저항이 증가할 수 있습니다.
메르세데스벤츠코리아(주),S 500 4MATIC,2020-10-03,2022-07-06,2023-09-22,생산 공정 오류로 인하여 12V 접지선의 연결 볼트가 트렁크 내 측벽 내장재와의 간섭으로 제대로 고정되지 않았을 수 있습니다. 이러한 경우 접지선의 케이블 터미널이 느슨해져서 전기 저항이 증가할 수 있습니다.
메르세데스벤츠코리아(주),S 400 d 4MATIC,2021-02-10,2021-02-10,2023-09-22,생산 공정 오류로 인하여 12V 접지선의 연결 볼트가 트렁크 내 측벽 내장재와의 간섭으로 제대로 고정되지 않았을 수 있습니다. 이러한 경우 접지선의 케이블 터미널이 느슨해져서 전기 저항이 증가할 수 있습니다.
메르세데스벤츠코리아(주),S 350 d,2021-02-10,2021-02-10,2023-09-22,생산 공정 오류로 인하여 12V 접지선의 연결 볼트가 트렁크 내 측벽 내장재와의 간섭으로 제대로 고정되지 않았을 수 있습니다. 이러한 경우 접지선의 케이블 터미널이 느슨해져서 전기 저항이 증가할 수 있습니다.
메르세데스벤츠코리아(주),AMG G 63,2022-05-20,2022-07-26,2023-09-22,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),AMG GT 43 4MATIC+,2022-02-02,2022-06-03,2023-09-22,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),Maybach S 680 4MATIC,2022-03-02,2022-08-31,2023-09-22,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),S 580 4MATIC,2021-10-12,2022-05-31,2023-09-22,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),E 350 4MATIC,2021-10-01,2022-04-04,2023-09-22,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),AMG E 53 4MATIC+,2021-11-04,2022-04-25,2023-09-22,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),E 450 4MATIC,2021-10-01,2022-04-11,2023-09-22,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),E 250,2022-02-23,2022-04-29,2023-09-22,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),C 200,2022-02-15,2022-11-20,2023-09-22,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),C 300 4MATIC,2022-11-03,2022-11-30,2023-09-22,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),Maybach GLS 600 4MATIC,2022-07-31,2022-09-30,2023-09-22,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
(유)기흥모터스,HARLEY-DAVIDSON FXRST,2017-06-28,2023-08-07,2023-10-06,"리어 서스펜션 조절기의 고정 볼트가 파손되어 조절기가 고정 위치에서 이탈, 아래에 위치한 리어 타이어에 접촉할 수 있음."
(유)기흥모터스,HARLEY-DAVIDSON FXLRST,2017-06-28,2023-08-07,2023-10-06,"리어 서스펜션 조절기의 고정 볼트가 파손되어 조절기가 고정 위치에서 이탈, 아래에 위치한 리어 타이어에 접촉할 수 있음."
(유)기흥모터스,HARLEY-DAVIDSON FXLRS,2017-06-28,2023-08-07,2023-10-06,"리어 서스펜션 조절기의 고정 볼트가 파손되어 조절기가 고정 위치에서 이탈, 아래에 위치한 리어 타이어에 접촉할 수 있음."
(유)기흥모터스,HARLEY-DAVIDSON FLHCS ANV,2017-06-28,2023-08-07,2023-10-06,"리어 서스펜션 조절기의 고정 볼트가 파손되어 조절기가 고정 위치에서 이탈, 아래에 위치한 리어 타이어에 접촉할 수 있음."
(유)기흥모터스,HARLEY-DAVIDSON FLDE,2017-06-28,2023-08-07,2023-10-06,"리어 서스펜션 조절기의 고정 볼트가 파손되어 조절기가 고정 위치에서 이탈, 아래에 위치한 리어 타이어에 접촉할 수 있음."
(유)기흥모터스,HARLEY-DAVIDSON FLHCS,2017-06-28,2023-08-07,2023-10-06,"리어 서스펜션 조절기의 고정 볼트가 파손되어 조절기가 고정 위치에서 이탈, 아래에 위치한 리어 타이어에 접촉할 수 있음."
(유)기흥모터스,HARLEY-DAVIDSON FLHC,2017-06-28,2023-08-07,2023-10-06,"리어 서스펜션 조절기의 고정 볼트가 파손되어 조절기가 고정 위치에서 이탈, 아래에 위치한 리어 타이어에 접촉할 수 있음."
스텔란티스코리아 주식회사,짚컴패스,2021-02-18,2022-08-23,2023-10-10,"BCM(바디 컨트롤 모듈)의 프로그램 설계 오류로 인해, 야간에 계기판내에 포함된 디지털 화면의 밝기 조절이 안되거나 또는 조절해도 충분히 밝지 않을 수 있습니다.(짚컴패스S 모델: 최대밝기로 고정된 상태, 짚컴패스 리미티드/론지튜드 모델: 낮은 밝기로 고정된 상태)"
기아 주식회사,레이(TAM),2022-12-01,2022-12-06,2023-01-26,운전석 정면 에어백 커버의 사출공정 불량으로 인해 운전석 정면 에어백 저온조건(-35℃) 전개 시 에어백 커버가 이탈될 가능성
기아 주식회사,모닝(JA),2022-11-25,2022-12-08,2023-01-26,운전석 정면 에어백 커버의 사출공정 불량으로 인해 운전석 정면 에어백 저온조건(-35℃) 전개 시 에어백 커버가 이탈될 가능성
메르세데스벤츠코리아(주),EQS 450+,2021-09-09,2021-09-15,2023-07-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),Maybach S 580 4MATIC,2021-09-06,2021-09-06,2023-07-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),S 500 4MATIC,2021-07-10,2021-10-04,2023-07-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),S 450 4MATIC,2021-07-08,2021-09-14,2023-07-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),S 350 d,2021-08-20,2021-08-20,2023-07-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
혼다코리아(주),PILOT,2018-05-23,2022-08-15,2023-07-21,오디오 통신 케이블 커넥터의 제조 불량(암수 커넥터 크기가 상이)으로 간헐적 접촉 불량이 발생하고 이로 인해 후방 카메라가 작동되지 않을 가능성이 있음. 
혼다코리아(주),ODYSSEY,2017-06-19,2023-05-03,2023-07-21,오디오 통신 케이블 커넥터의 제조 불량(암수 커넥터 크기가 상이)으로 간헐적 접촉 불량이 발생하고 이로 인해 후방 카메라가 작동되지 않을 가능성이 있음. 
혼다코리아(주),PILOT,2020-10-07,2020-12-22,2023-07-21,조립 공정 중 브레이크 마스터 실린더와 진공 펌프의 연결 나사가 제대로 조여지지 않아 주행 중 브레이크 마스터 실린더가 이탈되고 이로 인해 브레이크가 작동되지 않을 수 있음.
(주)에프엠케이,마세라티 MC20 Cielo ,2023-02-24,2023-05-31,2023-09-25,"제조 공정 오류로 인해 앞면 창유리 프레임과 차체 간 연결을 유지하는 보강핀이 장착되지 않았거나, 실리콘으로 고정되지 않았을 가능성이 있음"
포르쉐코리아 주식회사,타이칸,2021-06-25,2023-08-08,2023-11-03,고전압 배터리의 실링 문제로 배터리 하우징 내부로 습기가 유입될 가능성이 있습니다.
테슬라코리아 유한회사,모델 X,2023-02-08,2023-07-31,2023-11-06,차량 생산 과정에서 브레이크액 레벨을 감지하는 제어장치의 임계값(경계값) 범위가 잘못 설정되었습니다.
폭스바겐그룹코리아 주식회사,Q4 e-tron 40,2023-02-24,2023-02-24,2023-11-09,"특정 기간 동안 생산/수입된 일부 차량의 트렁크 내부에 탑재된 안전삼각대가 제조 공정상의 오류로 인하여 반사 성능이 충분하지 않을 가능성이 있습니다. 이는, ‘자동차 및 자동차 부품의 성능과 기준에 관한 규칙’ 제112조의8(안전삼각대)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다."
폭스바겐그룹코리아 주식회사,Touareg 3 3.0 TDI,2023-02-24,2023-03-15,2023-11-09,"특정 기간 동안 생산/수입된 일부 차량의 트렁크 내부에 탑재된 안전삼각대가 제조 공정상의 오류로 인하여 반사 성능이 충분하지 않을 가능성이 있습니다. 이는, ‘자동차 및 자동차 부품의 성능과 기준에 관한 규칙’ 제112조의8(안전삼각대)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다."
폭스바겐그룹코리아 주식회사,Tiguan Allspace,2023-01-10,2023-01-10,2023-11-09,"특정 기간 동안 생산/수입된 일부 차량의 트렁크 내부에 탑재된 안전삼각대가 제조 공정상의 오류로 인하여 반사 성능이 충분하지 않을 가능성이 있습니다. 이는, ‘자동차 및 자동차 부품의 성능과 기준에 관한 규칙’ 제112조의8(안전삼각대)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다."
폭스바겐그룹코리아 주식회사,ID.4 82kWh PRO,2023-04-04,2023-04-04,2023-11-09,"특정 기간 동안 생산/수입된 일부 차량의 트렁크 내부에 탑재된 안전삼각대가 제조 공정상의 오류로 인하여 반사 성능이 충분하지 않을 가능성이 있습니다. 이는, ‘자동차 및 자동차 부품의 성능과 기준에 관한 규칙’ 제112조의8(안전삼각대)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다."
폭스바겐그룹코리아 주식회사,Golf 8 2.0 TDI,2023-01-16,2023-01-16,2023-11-09,"특정 기간 동안 생산/수입된 일부 차량의 트렁크 내부에 탑재된 안전삼각대가 제조 공정상의 오류로 인하여 반사 성능이 충분하지 않을 가능성이 있습니다. 이는, ‘자동차 및 자동차 부품의 성능과 기준에 관한 규칙’ 제112조의8(안전삼각대)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다."
메르세데스벤츠코리아(주),Maybach GLS 600 4MATIC,2020-05-08,2020-05-08,2023-04-21,조립 공정 오류로 에어컨 응축수 배수 호스가 정확히 체결되지 않았을 수 있어 에어컨 응축수가 차량의 운전석 및 조수석 바닥에 실내 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLS 580 4MATIC,2019-10-16,2020-06-17,2023-04-21,조립 공정 오류로 에어컨 응축수 배수 호스가 정확히 체결되지 않았을 수 있어 에어컨 응축수가 차량의 운전석 및 조수석 바닥에 실내 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLS 400 d 4MATIC,2019-10-20,2020-08-28,2023-04-21,조립 공정 오류로 에어컨 응축수 배수 호스가 정확히 체결되지 않았을 수 있어 에어컨 응축수가 차량의 운전석 및 조수석 바닥에 실내 유입될 수 있습니다.
메르세데스벤츠코리아(주),Mercedes-AMG GLE 63 S 4MATIC+,2019-11-04,2020-02-19,2023-04-21,조립 공정 오류로 에어컨 응축수 배수 호스가 정확히 체결되지 않았을 수 있어 에어컨 응축수가 차량의 운전석 및 조수석 바닥에 실내 유입될 수 있습니다.
메르세데스벤츠코리아(주),Mercedes-AMG GLE 53 4MATIC+ Coupe,2019-11-01,2020-02-20,2023-04-21,조립 공정 오류로 에어컨 응축수 배수 호스가 정확히 체결되지 않았을 수 있어 에어컨 응축수가 차량의 운전석 및 조수석 바닥에 실내 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLE 350 e 4MATIC Coupe,2020-03-25,2020-03-25,2023-04-21,조립 공정 오류로 에어컨 응축수 배수 호스가 정확히 체결되지 않았을 수 있어 에어컨 응축수가 차량의 운전석 및 조수석 바닥에 실내 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLE 400 d 4MATIC,2019-07-23,2020-02-20,2023-04-21,조립 공정 오류로 에어컨 응축수 배수 호스가 정확히 체결되지 않았을 수 있어 에어컨 응축수가 차량의 운전석 및 조수석 바닥에 실내 유입될 수 있습니다.
메르세데스벤츠코리아(주),Mercedes-AMG GLE 53 4MATIC+,2019-10-15,2020-05-27,2023-04-21,조립 공정 오류로 에어컨 응축수 배수 호스가 정확히 체결되지 않았을 수 있어 에어컨 응축수가 차량의 운전석 및 조수석 바닥에 실내 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLE 450 4MATIC,2019-03-01,2021-02-02,2023-04-21,조립 공정 오류로 에어컨 응축수 배수 호스가 정확히 체결되지 않았을 수 있어 에어컨 응축수가 차량의 운전석 및 조수석 바닥에 실내 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLE 350 e 4MATIC,2020-03-27,2020-03-27,2023-04-21,조립 공정 오류로 에어컨 응축수 배수 호스가 정확히 체결되지 않았을 수 있어 에어컨 응축수가 차량의 운전석 및 조수석 바닥에 실내 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLE 350 4MATIC,2019-11-15,2019-11-15,2023-04-21,조립 공정 오류로 에어컨 응축수 배수 호스가 정확히 체결되지 않았을 수 있어 에어컨 응축수가 차량의 운전석 및 조수석 바닥에 실내 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,2018-11-05,2020-09-14,2023-04-21,조립 공정 오류로 에어컨 응축수 배수 호스가 정확히 체결되지 않았을 수 있어 에어컨 응축수가 차량의 운전석 및 조수석 바닥에 실내 유입될 수 있습니다.
비엠더블유코리아(주),BMW i4 eDrive40,2022-06-21,2022-06-21,2023-01-13,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생할 수 있습니다
현대자동차(주),스타리아(US4) 어린이 통학차,2021-10-15,2022-12-06,2023-01-13,현대자동차(주)에서는 스타리아(US4) 어린이통학차 차량에서 고객 편의를 위한 어린이 하차 확인장치 ON/OFF 기능 적용으로 인해 시동 OFF시 어린이 하차 확인장치 미작동으로 안전기준을 만족하지 못할 가능성이 있는 결함
볼보트럭코리아(주),FH 트랙터,2021-12-01,2022-11-18,2023-01-13,앞차축 고정볼트 조임 불량 (앞차축 고정볼트 체결토크가 설계치보다 작게 체결됨)
르노코리아(주),MASTER,2019-01-25,2021-10-07,2023-07-21,"MASTER 차량의 측면 보조방향지시등은 유럽 법규에 따라 인증기관에서 인증 되었으나  자기인증적합조사 결과, 호박색 필터 커버가 열에 의해 변형 되어 최소 광도 및 색도규정을 만족하지 못함."
르노코리아(주),MASTER,2018-07-25,2022-12-21,2023-07-21,"MASTER 차량의 측면 보조방향지시등은 유럽 법규에 따라 인증기관에서 인증 되었으나  자기인증적합조사 결과, 호박색 필터 커버가 열에 의해 변형 되어 최소 광도 및 색도규정을 만족하지 못함."
한솜바이크(주),BENNET125,2022-02-01,2022-12-31,2023-09-26,한솜바이크㈜에서 판매한 이륜자동차 BENNET125(ZSSR125) 모델의 실제 차체 높이의 차이와 제원 통보한 차체 높이가 자동차 안전기준 제115조에서 제시한 제원의 허용차 범위(±50mm)를 초과함이 확인
폭스바겐그룹코리아 주식회사,ID.4,2022-05-04,2022-05-04,2023-09-27,특정 기간 동안 생산/수입된 일부 차량에 탑재된 운전자지원첨단조향장치 소프트웨어 오류로 인하여 ‘자동차 및 자동차 부품의 성능과 기준에 관한 규칙’ 제89조제2항(조향장치)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않습니다.
(주) 한국모터트레이딩,LTS125,2016-03-17,2022-10-12,2023-03-03,연료탱크 외부 충격 완화 부품이 장착되지 않아 험로 주행 시 연료탱크 용접부 일부에 균열이 발생할 가능성이 있습니다.
현대자동차(주),아이오닉5 (NE),2021-01-28,2023-02-03,2023-02-23,현대자동차㈜에서는 아이오닉5(NE) 일부 차량에서 차량 제어장치(VCU) 로직 설계 오류로 인해 경사로 주차 중 차량 탑승을 위해 차량문을 열 경우 주차유지(P단)가 해제되면서 차량 전/후방 밀림 사고가 발생할 가능성이 있는 결함이 확인되어 제작결함 시정을 하고자 함
(주)스즈키씨엠씨,GSX-1300RRQ,2020-12-25,2022-01-24,2023-03-20,앞 브레이크 마스터 실린더의 브레이크 오일을 보충 또는 회수하는 통로 위치의 부적격으로 브레이크 마스터 실린더 내 부품(고무씰)이 통로를 막아 특정상황(주행으로 인하여 브레이크 오일 온도가 높아졌다가 주행완료 후 장시간 주차 등으로 브레이크 오일 온도가 낮아졌을 때)에서 브레이크 패드와 디스크 간격이 증가할 가능성이 있습니다. 
비엠더블유코리아(주),BMW iX3 M Sport,2021-08-12,2022-10-11,2023-01-27,"배터리 관리 모듈 소프트웨어 오류로 간헐적으로 배터리 상태를 잘못 진단하여 배터리 충전이 갑자기 중단되거나, 고전압 시스템이 차단될 수 있습니다. 아울러, 차량 주행 중 차량의 고전압 시스템이 차단되면 체크 컨트롤 메시지가 점등되며 차량이 서서히 멈출 수 있어 안전에 영향을 줄 수 있습니다."
스카니아코리아그룹(주),스카니아트랙터,2023-04-18,2023-04-18,2023-07-19,생산 과정에서 휠(바퀴)너트가 제대로 조여지지 않았을 가능성이 있습니다.
한국지엠주식회사,트래버스,2022-09-02,2022-10-21,2023-08-10,"특정 기간 동안 드라이브 샤프트와 연결되는 변속기 내부의 썬 기어가 제조 불량으로 인해 드라이브 샤프트와 완벽하게 조립되지 않았을 가능성이 있고, 이로 인해 주행 중 운전석 휠 방향의 드라이브 샤프트가 변속기로부터 분리될 가능성이 있음."
기아 주식회사,쏘울EV,2014-04-16,2018-09-07,2023-10-04,고전압배터리 내부 비정상적인 석출물 과다 발생하여 양극과 음극 단락(합선) 발생 가능성 
메르세데스벤츠코리아(주),AMG EQS 53 4MATIC+,2021-07-14,2021-07-14,2023-11-14,특정 상황에서 과전압(voltage peak)이 발생한 경우 고전압 배터리 컨트롤러와 모니터링 장치 사이에 연결된 내부 저항(resistor)이 손상될 수 있습니다. 이러한 경우 고전압 배터리 관리 시스템의 소프트웨어 오류로 인해 고전압 배터리 모니터링 기능이 정상적으로 작동되지 않을 수 있습니다.  
메르세데스벤츠코리아(주),AMG GT 43 4MATIC+,2021-10-28,2022-03-30,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),AMG CLS 53 4MATIC+,2022-03-07,2022-03-09,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),S 580 4MATIC,2021-06-01,2022-03-30,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),S 580 e 4MATIC,2022-05-20,2022-05-31,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),S 500 4MATIC,2021-06-01,2022-05-31,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),S 450 4MATIC,2022-05-06,2022-05-31,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),E 250,2021-10-01,2022-03-28,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),C 300 4MATIC,2022-02-11,2022-11-30,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),C 300,2022-02-03,2022-02-28,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),C 200 Convertible,2021-08-09,2022-03-21,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),C 200 Coupe,2021-09-06,2022-03-21,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),AMG C 43 4MATIC Coupe,2021-08-17,2021-10-04,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),AMG GLE 53 4MATIC+ Coupe,2021-07-22,2021-10-27,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),AMG GLE 53 4MATIC+,2021-11-29,2022-02-28,2023-11-14,연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있습니다. 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동되지 않을 수 있습니다. 
메르세데스벤츠코리아(주),Mercedes-AMG SL 63 4MATIC+,2022-08-30,2023-07-03,2023-11-14,생산 공정 오류로 인하여 스타터/발전기 배선의 고정 클립이 정확히 고정되지 않아 구동축(drive shaft)과 간섭될 수 있습니다. 
비엠더블유코리아(주),R1250GS Adventure,2021-04-09,2021-04-09,2023-02-09,엔진 제어 장치(ECU) 소프트웨어의 설정(회전속도 허용차)의 오류로 엔진과 종감속 기어간 회전 속도의 급격한 차이가 발생할 경우 변속기의 입력축에 과부하가 발생하여 파손될 가능성이 있습니다
비엠더블유코리아(주),R1250GS Adventure,2020-08-31,2022-11-25,2023-02-09,엔진 제어 장치(ECU) 소프트웨어의 설정(회전속도 허용차)의 오류로 엔진과 종감속 기어간 회전 속도의 급격한 차이가 발생할 경우 변속기의 입력축에 과부하가 발생하여 파손될 가능성이 있습니다
비엠더블유코리아(주),R1250GS,2020-08-28,2022-11-09,2023-02-09,엔진 제어 장치(ECU) 소프트웨어의 설정(회전속도 허용차)의 오류로 엔진과 종감속 기어간 회전 속도의 급격한 차이가 발생할 경우 변속기의 입력축에 과부하가 발생하여 파손될 가능성이 있습니다
비엠더블유코리아(주),R1250RT,2021-04-06,2022-07-14,2023-02-09,엔진 제어 장치(ECU) 소프트웨어의 설정(회전속도 허용차)의 오류로 엔진과 종감속 기어간 회전 속도의 급격한 차이가 발생할 경우 변속기의 입력축에 과부하가 발생하여 파손될 가능성이 있습니다
비엠더블유코리아(주),R1250GS,2018-09-21,2020-03-19,2023-02-09,엔진 제어 장치(ECU) 소프트웨어의 설정(회전속도 허용차)의 오류로 엔진과 종감속 기어간 회전 속도의 급격한 차이가 발생할 경우 변속기의 입력축에 과부하가 발생하여 파손될 가능성이 있습니다
비엠더블유코리아(주),R1250RT,2019-05-14,2020-07-16,2023-02-09,엔진 제어 장치(ECU) 소프트웨어의 설정(회전속도 허용차)의 오류로 엔진과 종감속 기어간 회전 속도의 급격한 차이가 발생할 경우 변속기의 입력축에 과부하가 발생하여 파손될 가능성이 있습니다
비엠더블유코리아(주),R 1250 GS Adventure,2018-09-28,2020-07-13,2023-02-09,엔진 제어 장치(ECU) 소프트웨어의 설정(회전속도 허용차)의 오류로 엔진과 종감속 기어간 회전 속도의 급격한 차이가 발생할 경우 변속기의 입력축에 과부하가 발생하여 파손될 가능성이 있습니다
